"SAMPLE_DATE","PROCESS_TYPE","TOTAL_PROCESS","TOTAL_PGA_ALLOCATED_MB","TOTAL_PGA_USED_MB"
"01-09-2021 20:07:54","bkg-process",58,190.15,136.89
"01-09-2021 20:07:54","other-process",6,16.8,12.82
"01-09-2021 20:07:56","bkg-process",58,190.15,136.89
"01-09-2021 20:07:56","other-process",6,16.8,12.01
"01-09-2021 20:07:58","bkg-process",58,190.15,136.89
"01-09-2021 20:07:58","other-process",6,16.8,12.01
"01-09-2021 20:08:00","bkg-process",58,190.15,136.89
"01-09-2021 20:08:00","other-process",6,16.8,12.01
"01-09-2021 20:08:02","bkg-process",58,190.15,136.89
"01-09-2021 20:08:02","other-process",6,16.8,12.01
"01-09-2021 20:08:04","bkg-process",58,190.15,136.95
"01-09-2021 20:08:04","other-process",6,16.8,12.01
"01-09-2021 20:08:06","bkg-process",58,190.15,136.95
"01-09-2021 20:08:06","other-process",6,16.8,12.01
"01-09-2021 20:08:08","bkg-process",58,190.15,136.95
"01-09-2021 20:08:08","other-process",6,16.8,12.01
"01-09-2021 20:08:10","bkg-process",58,190.15,136.95
"01-09-2021 20:08:10","other-process",6,16.8,12.01
"01-09-2021 20:08:12","bkg-process",58,190.15,136.95
"01-09-2021 20:08:12","other-process",6,16.8,12.01
"01-09-2021 20:08:14","bkg-process",58,190.15,136.89
"01-09-2021 20:08:14","other-process",6,16.8,12.01
"01-09-2021 20:08:16","bkg-process",58,190.15,136.89
"01-09-2021 20:08:16","other-process",6,16.8,12.01
"01-09-2021 20:08:18","bkg-process",58,190.15,136.89
"01-09-2021 20:08:18","other-process",6,16.8,12.01
"01-09-2021 20:08:20","bkg-process",58,190.15,136.89
"01-09-2021 20:08:20","other-process",6,16.8,12.01
"01-09-2021 20:08:22","bkg-process",58,190.15,136.89
"01-09-2021 20:08:22","other-process",6,16.8,12.01
"01-09-2021 20:08:25","bkg-process",58,190.15,136.89
"01-09-2021 20:08:25","other-process",6,16.8,12.01
"01-09-2021 20:08:27","bkg-process",58,190.15,136.89
"01-09-2021 20:08:27","other-process",6,16.8,12.01
"01-09-2021 20:08:29","bkg-process",58,190.15,136.89
"01-09-2021 20:08:29","other-process",6,16.8,12.01
"01-09-2021 20:08:31","bkg-process",58,190.15,136.89
"01-09-2021 20:08:31","other-process",6,16.8,12.01
"01-09-2021 20:08:33","bkg-process",58,190.15,136.89
"01-09-2021 20:08:33","other-process",6,16.8,12.01
"01-09-2021 20:08:35","bkg-process",58,190.15,136.89
"01-09-2021 20:08:35","other-process",6,16.8,12.01
"01-09-2021 20:08:37","bkg-process",58,190.15,136.89
"01-09-2021 20:08:37","other-process",6,16.8,12.01
"01-09-2021 20:08:39","bkg-process",58,190.15,136.89
"01-09-2021 20:08:39","other-process",6,16.8,12.01
"01-09-2021 20:08:41","bkg-process",58,190.15,136.89
"01-09-2021 20:08:41","other-process",6,16.8,12.01
"01-09-2021 20:08:43","bkg-process",58,190.15,136.89
"01-09-2021 20:08:43","other-process",6,16.8,12.01
"01-09-2021 20:08:45","bkg-process",58,190.15,136.89
"01-09-2021 20:08:45","other-process",6,16.8,12.01
"01-09-2021 20:08:47","bkg-process",58,190.15,136.89
"01-09-2021 20:08:47","other-process",6,16.8,12.01
"01-09-2021 20:08:49","bkg-process",58,190.15,136.89
"01-09-2021 20:08:49","other-process",6,16.8,12.01
"01-09-2021 20:08:51","bkg-process",58,190.15,136.87
"01-09-2021 20:08:51","other-process",14,38.75,31.97
"01-09-2021 20:08:53","bkg-process",58,190.15,136.87
"01-09-2021 20:08:53","other-process",33,91.99,81.33
"01-09-2021 20:08:56","bkg-process",58,190.15,136.87
"01-09-2021 20:08:56","other-process",55,158.2,143.25
"01-09-2021 20:08:58","bkg-process",58,190.15,136.91
"01-09-2021 20:08:58","other-process",55,179.26,162.64
"01-09-2021 20:09:00","bkg-process",58,190.15,136.91
"01-09-2021 20:09:00","other-process",55,193.01,174.88
"01-09-2021 20:09:04","bkg-process",58,190.15,136.91
"01-09-2021 20:09:04","other-process",55,193.01,174.35
"01-09-2021 20:09:07","bkg-process",58,190.15,136.91
"01-09-2021 20:09:07","other-process",55,193.01,174.22
"01-09-2021 20:09:09","bkg-process",58,190.15,136.9
"01-09-2021 20:09:09","other-process",55,192.76,173.67
"01-09-2021 20:09:12","bkg-process",58,190.15,136.9
"01-09-2021 20:09:12","other-process",55,192.76,173.14
"01-09-2021 20:09:14","bkg-process",58,190.15,136.91
"01-09-2021 20:09:14","other-process",55,193.01,174.15
"01-09-2021 20:09:16","bkg-process",58,190.15,136.88
"01-09-2021 20:09:16","other-process",55,193.01,174.15
"01-09-2021 20:09:18","bkg-process",58,190.15,136.88
"01-09-2021 20:09:18","other-process",55,193.01,174.15
"01-09-2021 20:09:21","bkg-process",58,190.15,136.88
"01-09-2021 20:09:21","other-process",55,193.01,174.15
"01-09-2021 20:09:23","bkg-process",58,190.15,136.88
"01-09-2021 20:09:23","other-process",55,192.76,173.65
"01-09-2021 20:09:25","bkg-process",58,190.15,136.88
"01-09-2021 20:09:25","other-process",55,193.01,174.15
"01-09-2021 20:09:33","bkg-process",58,190.15,136.88
"01-09-2021 20:09:33","other-process",55,192.76,173.12
"01-09-2021 20:09:40","bkg-process",58,190.15,136.88
"01-09-2021 20:09:40","other-process",55,193.01,174.13
"01-09-2021 20:09:42","bkg-process",58,190.15,136.88
"01-09-2021 20:09:42","other-process",55,192.76,173.62
"01-09-2021 20:09:44","bkg-process",58,190.15,136.88
"01-09-2021 20:09:44","other-process",55,193.01,174.13
"01-09-2021 20:09:46","bkg-process",58,190.15,136.88
"01-09-2021 20:09:46","other-process",55,193.01,174.13
"01-09-2021 20:09:48","bkg-process",58,190.15,136.88
"01-09-2021 20:09:48","other-process",55,193.01,174.13
"01-09-2021 20:09:50","bkg-process",58,190.15,136.88
"01-09-2021 20:09:50","other-process",55,193.01,173.62
"01-09-2021 20:09:52","bkg-process",58,190.15,136.88
"01-09-2021 20:09:52","other-process",55,193.01,174.13
"01-09-2021 20:09:56","bkg-process",58,190.15,136.88
"01-09-2021 20:09:56","other-process",55,193.01,174.13
"01-09-2021 20:10:00","bkg-process",58,190.15,136.88
"01-09-2021 20:10:00","other-process",55,193.01,174.13
"01-09-2021 20:10:02","bkg-process",58,190.15,136.88
"01-09-2021 20:10:02","other-process",55,193.01,174.13
"01-09-2021 20:10:05","bkg-process",58,190.15,137.33
"01-09-2021 20:10:05","other-process",55,192.76,173.12
"01-09-2021 20:10:07","bkg-process",58,190.14,137.33
"01-09-2021 20:10:07","other-process",55,192.76,173.12
"01-09-2021 20:10:09","bkg-process",58,190.14,137
"01-09-2021 20:10:09","other-process",55,192.76,173.12
"01-09-2021 20:10:11","bkg-process",58,190.14,136.95
"01-09-2021 20:10:11","other-process",55,193.01,174.13
"01-09-2021 20:10:14","bkg-process",58,190.14,136.9
"01-09-2021 20:10:14","other-process",55,192.76,173.12
"01-09-2021 20:10:16","bkg-process",58,190.14,136.9
"01-09-2021 20:10:16","other-process",55,193.01,174.13
"01-09-2021 20:10:18","bkg-process",58,190.14,136.9
"01-09-2021 20:10:18","other-process",55,193.01,174.13
"01-09-2021 20:10:20","bkg-process",58,190.14,136.9
"01-09-2021 20:10:20","other-process",55,193.01,174.13
"01-09-2021 20:10:23","bkg-process",58,190.14,136.9
"01-09-2021 20:10:23","other-process",55,193.01,174.13
"01-09-2021 20:10:27","bkg-process",58,190.14,136.9
"01-09-2021 20:10:27","other-process",55,193.01,174.13
"01-09-2021 20:10:29","bkg-process",58,190.14,136.9
"01-09-2021 20:10:29","other-process",55,193.01,174.13
"01-09-2021 20:10:32","bkg-process",58,190.14,136.9
"01-09-2021 20:10:32","other-process",55,193.01,174.13
"01-09-2021 20:10:34","bkg-process",58,190.14,136.9
"01-09-2021 20:10:34","other-process",55,192.76,173.12
"01-09-2021 20:10:36","bkg-process",58,190.14,136.9
"01-09-2021 20:10:36","other-process",55,193.01,174.13
"01-09-2021 20:10:45","bkg-process",58,190.14,136.9
"01-09-2021 20:10:45","other-process",55,193.01,174.13
"01-09-2021 20:10:47","bkg-process",58,190.14,136.9
"01-09-2021 20:10:47","other-process",55,193.01,174.13
"01-09-2021 20:10:49","bkg-process",58,190.14,136.9
"01-09-2021 20:10:49","other-process",55,193.01,174.13
"01-09-2021 20:10:51","other-process",55,193.01,174.13
"01-09-2021 20:10:51","bkg-process",58,190.14,136.9
"01-09-2021 20:10:54","bkg-process",58,190.14,136.9
"01-09-2021 20:10:54","other-process",55,190.51,164.05
"01-09-2021 20:10:56","bkg-process",58,190.14,136.89
"01-09-2021 20:10:56","other-process",55,187.01,149.93
"01-09-2021 20:10:58","bkg-process",58,190.14,136.89
"01-09-2021 20:10:58","other-process",53,178.2,136.34
"01-09-2021 20:11:01","bkg-process",58,190.14,136.89
"01-09-2021 20:11:01","other-process",47,156.88,116.72
"01-09-2021 20:11:03","bkg-process",57,189.05,135.89
"01-09-2021 20:11:03","other-process",47,156.88,116.72
"01-09-2021 20:11:05","bkg-process",57,188.36,135.89
"01-09-2021 20:11:05","other-process",47,156.88,116.72
"01-09-2021 20:11:07","bkg-process",57,188.36,135.89
"01-09-2021 20:11:07","other-process",47,156.88,116.72
"01-09-2021 20:11:09","bkg-process",57,188.36,135.89
"01-09-2021 20:11:09","other-process",47,156.88,116.72
"01-09-2021 20:11:11","bkg-process",57,188.36,135.89
"01-09-2021 20:11:11","other-process",47,156.88,116.72
"01-09-2021 20:11:13","bkg-process",57,188.36,135.89
"01-09-2021 20:11:13","other-process",47,156.88,116.72
"01-09-2021 20:11:15","bkg-process",57,184.74,135.89
"01-09-2021 20:11:15","other-process",47,156.88,116.72
"01-09-2021 20:11:17","bkg-process",57,183.61,135.89
"01-09-2021 20:11:17","other-process",47,156,116.72
"01-09-2021 20:11:19","bkg-process",57,183.61,135.89
"01-09-2021 20:11:19","other-process",47,156,116.72
"01-09-2021 20:11:21","bkg-process",57,183.61,135.89
"01-09-2021 20:11:21","other-process",47,156,116.72
"01-09-2021 20:11:23","bkg-process",57,183.61,135.89
"01-09-2021 20:11:23","other-process",47,156,116.72
"01-09-2021 20:11:25","bkg-process",57,183.61,135.89
"01-09-2021 20:11:25","other-process",47,156,116.72
"01-09-2021 20:11:27","bkg-process",57,183.61,135.89
"01-09-2021 20:11:27","other-process",47,156,116.72
"01-09-2021 20:11:29","bkg-process",57,183.61,135.89
"01-09-2021 20:11:29","other-process",47,156,116.72
"01-09-2021 20:11:32","bkg-process",57,183.61,135.89
"01-09-2021 20:11:32","other-process",47,156,116.72
"01-09-2021 20:11:34","bkg-process",57,183.61,135.89
"01-09-2021 20:11:34","other-process",47,156,116.72
"01-09-2021 20:11:36","bkg-process",57,183.61,135.89
"01-09-2021 20:11:36","other-process",47,156,116.72
"01-09-2021 20:11:38","bkg-process",57,183.61,135.89
"01-09-2021 20:11:38","other-process",47,156,116.72
"01-09-2021 20:11:40","bkg-process",57,183.61,135.89
"01-09-2021 20:11:40","other-process",47,156,116.72
"01-09-2021 20:11:42","bkg-process",57,183.61,135.89
"01-09-2021 20:11:42","other-process",47,156,116.72
"01-09-2021 20:11:44","bkg-process",57,183.61,135.89
"01-09-2021 20:11:44","other-process",47,156,116.72
"01-09-2021 20:11:46","bkg-process",57,183.61,135.91
"01-09-2021 20:11:46","other-process",47,156,116.72
"01-09-2021 20:11:48","bkg-process",57,183.61,135.91
"01-09-2021 20:11:48","other-process",47,156,116.72
"01-09-2021 20:11:50","bkg-process",57,183.61,135.91
"01-09-2021 20:11:50","other-process",47,156,116.72
"01-09-2021 20:16:19","bkg-process",57,180.16,138.19
"01-09-2021 20:16:19","other-process",4,11.55,9.08
